4.239451019916686,81.50287266254071,34.239451019916686,111.50287266254071|today,temperature|photo,posted|barometer,humidity
58.349139970005325,94.15192708086227,88.34913997000533,124.15192708086227|temperature,barometer|walking,dead|humidity,slowly
-62.400972203442436,42.102246086861214,-32.400972203442436,72.10224608686121|rain,today|back,follow|temperature,barometer
42.95032602057381,-65.64580358941329,72.95032602057381,-35.64580358941329|temperature,humidity|today,temperature|hourly,pressure
-17.14772721690288,71.1730837393851,12.85227278309712,101.1730837393851|hourly,pressure|barometer,humidity|slowly,gust
77.84732012195204,16.82483000833281,107.84732012195204,46.82483000833281|humidity,hourly|temperature,barometer|pressure,slowly
34.11616998145921,155.44009661998172,64.11616998145921,185.44009661998172|rising,today|ice,cream|temperature,barometer
77.53587075415828,135.29113201509813,107.53587075415828,165.29113201509813|falling,rain|hate,people|today,temperature
9.55510808847609,172.52254883570117,39.55510808847609,202.52254883570117|rain,rising|holy,shit|today,temperature
-72.6219258037664,-126.79278220471718,-42.6219258037664,-96.79278220471718|rain,falling|shit,fuck|temperature,humidity
-35.91998815864623,-14.960436309701464,-5.919988158646227,15.039563690298536|falling,temperature|falling,rain|humidity,hourly
-7.345292500660705,-139.80342919644391,22.654707499339295,-109.80342919644391|2,temperature|back,text|humidity,hourly
-27.26991058736762,-167.32131537502366,2.730089412632381,-137.32131537502366|falling,2|rain,today|temperature,humidity
-36.29187409067554,111.20447768980483,-6.291874090675542,141.20447768980483|rain,falling|humidity,slowly|2,temperature
5.12832896311123,-52.4877676975063,35.12832896311123,-22.4877676975063|km,today|feel,make|temperature,barometer
18.670468173332438,-144.61672048855806,48.67046817333244,-114.61672048855806|rain,km|late,night|today,temperature
8.765284515715834,104.13474163192217,38.765284515715834,134.13474163192217|rain,km|makes,feel|rising,today
-84.55225433750572,58.647024628159386,-54.552254337505715,88.64702462815939|km,rising|people,make|today,temperature
-73.14602593583068,-6.26569616817099,-43.14602593583068,23.73430383182901|falling,rain|temperature,humidity|km,today
-44.56896895971603,171.99643465598086,-14.568968959716031,201.99643465598086|began,workout|watch,walking|follow,live
15.111949061652524,-120.00084517658445,45.111949061652524,-90.00084517658445|running,began|made,night|workout,follow
32.831977931992625,137.12911170229188,62.831977931992625,167.12911170229188|chapter,2|slowly,gust|insidious,watching
-8.935113929661384,114.80034326004773,21.064886070338616,144.80034326004773|world,outdoors|tomorrow,back|weather,follow
-24.409606517208914,31.513826839279375,5.590393482791086,61.513826839279375|big,yellow|rising,today|taxi,benzin
69.32937157068034,-77.1198031676212,99.32937157068034,-47.1198031676212|world,cool|rain,falling|style,place
-3.5223253244335098,-102.97797007363795,26.47767467556649,-72.97797007363795|cool,style|bitch,fuck|place,hot
-13.179245109677865,47.31531906414125,16.820754890322135,77.31531906414125|art,world|today,tomorrow|cool,style
-33.67958676787028,-130.62643811531555,-3.6795867678702834,-100.62643811531555|boo,correct|bad,feel|answer,minutes
-17.05465158282871,-138.68793962988215,12.945348417171289,-108.68793962988215|trending,1st|hourly,pressure|topic,appears
35.194485959235976,110.06780139430657,65.19448595923598,140.06780139430657|style,place|humidity,hourly|hot,follow
-48.42562408813221,-43.068655384000294,-18.42562408813221,-13.068655384000294|temperature,barometer|hate,fucking|humidity,ene
81.99057630191325,158.13538234440034,111.99057630191325,188.13538234440034|1st,topic|gonna,today|appears,mention
43.96048818878916,57.62878740231906,73.96048818878916,87.62878740231906|today,temperature|pressure,slowly|weather,barometer
-72.07206446107644,-34.040249788702596,-42.07206446107644,-4.040249788702596|trending,1st|night,tomorrow|topic,people
-25.254104788016562,9.035289893261194,4.745895211983438,39.035289893261194|temperature,weather|rain,km|barometer,humidity
5.393918353949886,-18.418029708103006,35.393918353949886,11.581970291896994|1st,topic|rain,rising|people,mention
6.824408600924357,-178.80791150425412,36.82440860092436,-148.80791150425412|cloudy,2|today,feel|revenge,watching
69.9126910266223,-50.68392056900257,99.9126910266223,-20.683920569002566|hour,humidity|super,soy|pressure,cest
-54.941962826373384,65.49349801579177,-24.941962826373384,95.49349801579177|deg,today|shit,feel|temperature,barometer
40.097181298064754,-138.83354045670276,70.09718129806475,-108.83354045670276|humidity,pressure|movie,watch|cest,slowly
-86.28798410527695,90.87954233047748,-56.28798410527695,120.87954233047748|pressure,cest|gonna,tomorrow|slowly,gust
8.114192585520371,-176.54716430073313,38.11419258552037,-146.54716430073313|st,police|gonna,night|person,contact
-32.039560941658145,116.35988001426188,-2.039560941658145,146.35988001426188|rain,rising|2,insidious|today,slowly
1.4934082976116656,106.2123385132727,31.493408297611666,136.2123385132727|humidity,hourly|dead,watching|pressure,gust
75.92794198259293,80.7391892804323,105.92794198259293,110.7391892804323|km,hour|wanna,make|humidity,pressure
-23.963307883726443,-42.6376182104043,6.0366921162735565,-12.637618210404298|made,topic|today,back|tweets,users
64.47121507266144,-14.54632669277575,94.47121507266144,15.45367330722425|workout,cycling|tonight,walking|follow,live
19.135009361573992,89.27204963369712,49.13500936157399,119.27204963369712|rain,km|play,game|hour,humidity
-70.73272303357307,152.71694736621163,-40.732723033573066,182.71694736621163|began,workout|give,fuck|cycling,follow
22.97591381750037,-77.69630832431058,52.97591381750037,-47.69630832431058|rain,deg|wanna,dont|today,temperature
-32.23609199464507,178.71305414467776,-2.236091994645072,208.71305414467776|delays,ahead|half,hour|scary,intimidating
27.925510082710943,-21.94938057349927,57.92551008271094,8.050619426500731|play,give|feel,sick|check,video
22.160729959921426,-129.636977266663,52.160729959921426,-99.636977266663|effects,delays|bitch,shit|ahead,scary
17.79439478821449,-105.58923732993048,47.79439478821449,-75.58923732993048|falling,rain|shit,gonna|deg,today
58.827879894804624,74.23085462580664,88.82787989480462,104.23085462580664|hotels,weather|night,back|check,food
-9.2519641807839,65.30032206935661,20.7480358192161,95.30032206935661|visiting,hotels|game,watch|weather,check
-79.56766159412908,77.42350424331528,-49.56766159412908,107.42350424331528|falling,rain|back,coming|km,hour
72.29766693440229,49.72527420169416,102.29766693440229,79.72527420169416|drinks,ladies|wide,awake|free,prize
27.53037624654928,-177.12127792962607,57.53037624654928,-147.12127792962607|rain,today|make,smile|temperature,weather
60.10870766952323,128.0929599910791,90.10870766952323,158.0929599910791|temporary,fact|talk,wanna|impossible,eat
-22.50215056791535,-64.77639330861278,7.497849432084649,-34.77639330861278|barometer,humidity|tonight,night|slowly,gust
74.28938578611744,68.05985481668586,104.28938578611744,98.05985481668586|kills,alive|watch,gonna|makes,feel
-9.59173704280289,178.42584528763558,20.40826295719711,208.42584528763558|image,touch|talk,people|simply,picture
-68.62694247698914,-102.12431881311235,-38.62694247698914,-72.12431881311235|today,temperature|running,km|humidity,windchill
23.831916235584004,102.74851352179115,53.831916235584,132.74851352179115|remember,special|make,laugh|made,promise
-54.61644458263947,-127.90182451193103,-24.616444582639467,-97.90182451193103|barometer,humidity|makes,sense|ene,slowly
21.517677170273245,-33.94140106670022,51.517677170273245,-3.941401066700223|calling,sassy|follow,make|parents,tamed
-74.82642986008946,12.716844370772208,-44.82642986008946,42.71684437077221|workout,biking|fucking,people|follow,live
-45.46781658214129,-66.67169767013914,-15.467816582141289,-36.67169767013914|began,workout|tonight,game|biking,follow
-56.348059677034236,-61.86193816056442,-26.348059677034236,-31.86193816056442|instruments,bones|back,wanna|watching,mortal
37.66962474781549,-11.792713175214033,67.66962474781549,18.207286824785967|trending,minutes|people,dont|made,topic
81.56649575299232,33.1480206342805,111.56649575299232,63.1480206342805|minutes,made|shit,real|topic,tweets
38.80845388170809,51.83312664513707,68.80845388170809,81.83312664513707|play,give|today,weather|world,check
16.184804057030746,-35.11603056773285,46.184804057030746,-5.1160305677328495|tonight,excited|change,things|walking,dead
44.37972400904317,-63.41371555666257,74.37972400904317,-33.41371555666257|give,world|fuck,back|check,video
73.5160773541538,-86.991547707875,103.5160773541538,-56.991547707875|people,make|shut,fuck|laugh,smile
80.22501255354945,166.28489320379208,110.22501255354945,196.28489320379208|download,access|night,fun|songs,updates
-48.35686075214015,176.69501203962045,-18.35686075214015,206.69501203962045|limit,casino|bad,mood|tournament,hold
73.86014853648126,169.35384464172142,103.86014853648126,199.35384464172142|poker,limit|things,people|casino,tournament
-87.71572687342533,-113.30176807248566,-57.715726873425325,-83.30176807248566|money,real|weekend,back|free,make
21.524260649689396,57.791653802099574,51.524260649689396,87.79165380209957|find,cuteness|birthday,xx|inspires,things
-32.11957447108966,-92.30521755024569,-2.1195744710896633,-62.305217550245686|rain,km|back,dead|humidity,barometer
-88.61802995803106,142.29766562039504,-58.61802995803106,172.29766562039504|rain,falling|baby,girl|today,hrs
22.304119526667478,-55.75364666156037,52.30411952666748,-25.753646661560367|falling,today|shit,night|hrs,pressure
-47.1402387685742,-97.28891226809137,-17.1402387685742,-67.28891226809137|2,concert|tonight,gonna|present,fight
-25.287865014004524,83.14928715064741,4.712134985995476,113.14928715064741|cuteness,inspires|eyes,open|things,aggression
11.335952751829552,132.95275072956207,41.33595275182955,162.95275072956207|broken,beware|shit,talk|woman,heart
28.114875826189177,155.60001273280852,58.11487582618918,185.60001273280852|doesn,watch|shit,back|walking,dead
47.26683769753538,130.94911954626895,77.26683769753538,160.94911954626895|download,murderers|gonna,back|show,stunning
-63.08895822319748,104.51912983283108,-33.08895822319748,134.51912983283108|give,demi|amazing,watch|break,heart
